,stock_id,date,open,high,low,close,volume,index_value,ticker
3500,5,2023-03-10,188.0,190.36,178.8,179.51,141591076,1.26,META
3501,5,2023-03-03,171.875,186.62,169.06,185.25,159564899,1.05,META
3502,5,2023-02-24,174.31,178.17,167.66,170.39,96834853,1.41,META
3503,5,2023-02-17,178.215,181.5064,169.7,172.88,130834553,1.39,META
3504,5,2023-02-10,186.53,193.7799,173.35,174.15,196255925,1.25,META
3505,5,2023-02-03,149.405,197.16,146.95,186.53,340828614,1.36,META
3506,5,2023-01-27,139.29,153.19,138.66,151.74,137316253,1.47,META
3507,5,2023-01-20,136.176,139.94,132.14,139.37,98676935,1.22,META
3508,5,2023-01-13,131.16,137.6781,127.15,136.98,133938193,1.35,META
3509,5,2023-01-06,122.82,130.33,122.28,130.02,120957222,1.2,META
3510,5,2022-12-30,117.93,121.03,115.51,120.34,82954801,1.73,META
3511,5,2022-12-23,116.83,120.34,112.46,118.04,120319921,2.21,META
3512,5,2022-12-16,115.18,124.14,113.14,119.43,207965126,1.8,META
3513,5,2022-12-09,121.75,124.67,112.88,115.9,165277975,1.04,META
3514,5,2022-12-02,110.78,124.04,108.38,123.49,167082449,1.58,META
3515,5,2022-11-25,111.52,112.73,108.3216,111.41,86730686,1.9,META
3516,5,2022-11-18,110.99,118.74,109.8,112.05,205804775,1.65,META
3517,5,2022-11-11,94.78,114.9,93.1,113.02,382385602,1.97,META
3518,5,2022-11-04,98.22,99.32,88.09,90.79,419674192,2.36,META
3519,5,2022-10-28,127.25,138.35,96.38,99.2,519536222,2.58,META
3520,5,2022-10-21,130.3,137.8399,125.44,130.01,158453194,2.56,META
3521,5,2022-10-14,133.55,136.11,122.5301,126.76,154995752,2.15,META
3522,5,2022-10-07,137.14,142.3901,132.44,133.45,159818969,2.18,META
3523,5,2022-09-30,140.12,142.24,134.1201,135.68,166133777,2.54,META
3524,5,2022-09-23,145.235,149.6,138.89,140.41,149598657,3.01,META
3525,5,2022-09-16,167.39,171.39,144.2935,146.29,185457833,2.18,META
3526,5,2022-09-09,160.1,169.54,156.81,169.15,80774367,2.91,META
3527,5,2022-09-02,160.655,167.93,155.91,160.32,133072660,3.11,META
3528,5,2022-08-26,165.49,170.92,159.77,161.78,98077116,2.87,META
3529,5,2022-08-19,178.96,181.44,167.05,167.96,102238764,3.15,META
3530,5,2022-08-12,168.0,183.1,166.6,180.5,121569409,3.27,META
3531,5,2022-08-05,157.25,172.15,155.2301,167.11,149459658,3.44,META
3532,5,2022-07-29,169.0,170.87,154.85,159.1,213761028,3.24,META
3533,5,2022-07-22,166.75,183.85,165.64,169.27,144072021,3.44,META
3534,5,2022-07-15,167.065,167.49,157.2801,164.7,102207905,3.31,META
3535,5,2022-07-08,158.14,172.72,157.02,170.88,95083331,2.99,META
3536,5,2022-07-01,171.32,171.75,155.0,160.03,152233058,3.5,META
3537,5,2022-06-24,165.93,170.25,154.25,170.16,207556926,3.1,META
3538,5,2022-06-17,170.59,172.575,159.61,163.74,147320187,3.36,META
3539,5,2022-06-10,193.99,202.03,175.02,175.57,122650016,2.89,META
3540,5,2022-06-03,194.885,200.935,185.0,190.78,114171173,3.93,META
3541,5,2022-05-27,195.19,196.9924,176.11,195.13,149114810,3.59,META
3542,5,2022-05-20,197.05,205.46,187.87,193.54,131857798,3.65,META
3543,5,2022-05-13,199.84,202.96,184.78,198.62,164721144,4.24,META
3544,5,2022-05-06,201.165,224.3,200.99,203.77,208545251,4.33,META
3545,5,2022-04-29,182.73,212.48,169.0,200.47,281300784,4.43,META
3546,5,2022-04-22,210.0,218.4299,183.27,184.11,165911103,4.34,META
3547,5,2022-04-08,225.98,236.86,218.56,222.33,126033890,4.41,META
3548,5,2022-04-01,222.13,231.151,219.54,224.85,126967068,4.68,META
3549,5,2022-03-25,214.5,225.5,207.63,221.82,155942191,4.4,META
3550,5,2022-03-18,187.03,216.8,185.82,216.49,184107129,4.88,META
3551,5,2022-03-11,200.79,200.89,186.11,187.61,167510962,4.69,META
3552,5,2022-03-04,207.675,213.1508,198.79,200.06,150196640,4.74,META
3553,5,2022-02-25,202.34,211.32,190.22,210.48,171770071,5.17,META
3554,5,2022-02-18,219.31,221.15,205.18,206.16,202562936,6.21,META
3555,5,2022-02-11,237.7,238.3,216.15,219.55,365374072,5.08,META
3556,5,2022-02-04,300.68,328.0,230.11,237.09,375523722,5.19,META
3557,5,2022-01-28,297.84,309.53,289.01,301.71,135895698,5.39,META
3558,5,2022-01-21,323.29,327.82,303.04,303.17,88552375,5.01,META
